1376k  113.26.167.8:8083
1295k  113.26.66.126:8083
1061k  110.177.96.105:8084
1059k  110.177.96.105:8083
1052k  110.179.81.36:8082
1042k  223.11.157.81:7777
1041k  223.10.12.38:8084
1041k  223.10.12.38:8083
1041k  110.179.81.36:8083
1041k  110.177.96.105:8082
1038k  113.26.66.126:8082
1031k  113.26.167.8:8082
1022k  223.10.12.38:8082
950k  110.178.52.111:8082
948k  223.12.5.249:8083
944k  110.178.52.111:8083
936k  223.12.5.249:8082
910k  110.178.52.91:8083
887k  110.178.52.111:8085
882k  110.178.52.91:8085
871k  110.178.52.91:8082
772k  110.178.52.111:8084
689k  110.178.52.91:8084
